date,long_short_ratio
2026-02-12,1.8827
2026-02-13,2.3311
2026-02-14,1.5806
2026-02-15,1.6846
2026-02-16,1.8523
2026-02-17,2.0248
2026-02-18,2.1279
2026-02-19,2.663
2026-02-20,2.2134
2026-02-21,2.012
2026-02-22,1.7632
2026-02-23,1.9317
2026-02-24,2.4235
2026-02-25,2.1309
2026-02-26,1.4869
2026-02-27,1.8185
2026-02-28,2.3289
2026-03-01,1.8885
2026-03-02,1.7405
2026-03-03,1.0542
2026-03-04,1.429
2026-03-05,0.8051
2026-03-06,1.1673
2026-03-07,1.8289
2026-03-08,1.9104
2026-03-09,2.1387
2026-03-10,1.4826
2026-03-11,1.2227
