t,o,h,l,c,symbol
1579564800,0.012057,0.01574,0.012057,0.01574,BTCUSDT_PERP.A
1579651200,0.01,0.021392,0.01,0.01,BTCUSDT_PERP.A
1579737600,0.01,0.052304,0.01,0.052304,BTCUSDT_PERP.A
1579824000,0.054719000000000004,0.054719000000000004,0.017948000000000002,0.017948000000000002,BTCUSDT_PERP.A
1579910400,0.01,0.01,0.01,0.01,BTCUSDT_PERP.A
1579996800,0.01,0.01,0.01,0.01,BTCUSDT_PERP.A
1580083200,0.01,0.01,0.01,0.01,BTCUSDT_PERP.A
1580169600,0.01,0.068689,0.01,0.054394000000000005,BTCUSDT_PERP.A
1580256000,0.062324,0.10819300000000001,0.053694,0.053694,BTCUSDT_PERP.A
1580342400,0.0236,0.034852,0.0236,0.034852,BTCUSDT_PERP.A
1580428800,0.053551,0.077154,0.039858,0.039858,BTCUSDT_PERP.A
1580515200,0.074991,0.074991,0.049052000000000005,0.049052000000000005,BTCUSDT_PERP.A
1580601600,0.028263000000000003,0.065524,0.028263000000000003,0.065524,BTCUSDT_PERP.A
1580688000,0.060676999999999995,0.060676999999999995,0.01,0.01,BTCUSDT_PERP.A
1580774400,0.099282,0.099282,0.038192000000000004,0.038192000000000004,BTCUSDT_PERP.A
1580860800,0.01,0.052631,0.01,0.052631,BTCUSDT_PERP.A
1580947200,0.164021,0.164021,0.055668,0.055668,BTCUSDT_PERP.A
1581033600,0.035618,0.035618,0.019726,0.034616,BTCUSDT_PERP.A
1581120000,0.039915000000000006,0.09931499999999999,0.039915000000000006,0.09931499999999999,BTCUSDT_PERP.A
1581206400,0.042798,0.11395400000000001,0.042798,0.11395400000000001,BTCUSDT_PERP.A
1581292800,0.106733,0.125022,0.097918,0.097918,BTCUSDT_PERP.A
1581379200,0.043989,0.064797,0.043989,0.050120000000000005,BTCUSDT_PERP.A
1581465600,0.3,0.3,0.103884,0.103884,BTCUSDT_PERP.A
1581552000,0.093553,0.093553,0.070414,0.070414,BTCUSDT_PERP.A
1581638400,0.06332,0.07445299999999999,0.055952,0.055952,BTCUSDT_PERP.A
1581724800,0.059113000000000006,0.09686,0.059113000000000006,0.087369,BTCUSDT_PERP.A
1581811200,0.051202,0.060847,0.036973000000000006,0.060847,BTCUSDT_PERP.A
1581897600,0.043178999999999995,0.091076,0.043178999999999995,0.091076,BTCUSDT_PERP.A
1581984000,0.026967,0.029661999999999997,0.013951999999999999,0.029661999999999997,BTCUSDT_PERP.A
1582070400,0.046396,0.046396,0.038487,0.040757,BTCUSDT_PERP.A
1582156800,0.01,0.01,0.01,0.01,BTCUSDT_PERP.A
1582243200,0.01,0.01,0.01,0.01,BTCUSDT_PERP.A
1582329600,0.01,0.012243,0.01,0.012243,BTCUSDT_PERP.A
1582416000,0.029663,0.065308,0.029663,0.065308,BTCUSDT_PERP.A
1582502400,0.048774000000000005,0.048774000000000005,0.01,0.01,BTCUSDT_PERP.A
1582588800,0.032389,0.046949,0.027363000000000002,0.046949,BTCUSDT_PERP.A
1582675200,0.03617,0.05063,0.03617,0.03866,BTCUSDT_PERP.A
1582761600,0.017363,0.017363,0.01,0.01,BTCUSDT_PERP.A
1582848000,0.01,0.023604,0.01,0.023604,BTCUSDT_PERP.A
1582934400,0.061536,0.062345,0.060166,0.062345,BTCUSDT_PERP.A
1583020800,0.049317,0.049317,0.027933,0.031032999999999998,BTCUSDT_PERP.A
1583107200,0.01872,0.01872,0.01,0.01,BTCUSDT_PERP.A
1583193600,0.01,0.01,0.01,0.01,BTCUSDT_PERP.A
1583280000,0.01,0.024328,0.01,0.024328,BTCUSDT_PERP.A
1583366400,0.01,0.023481000000000002,0.01,0.019521,BTCUSDT_PERP.A
