t,r,l,s,symbol
1590883200,0.8169,44.96,55.04,BTCUSDT_PERP.A
1590969600,0.8228,45.14,54.86,BTCUSDT_PERP.A
1591056000,0.8598,46.23,53.77,BTCUSDT_PERP.A
1591142400,1.2957,56.44,43.56,BTCUSDT_PERP.A
1591228800,1.2007,54.56,45.44,BTCUSDT_PERP.A
1591315200,0.9818,49.54,50.46,BTCUSDT_PERP.A
1591401600,1.0864,52.07,47.93,BTCUSDT_PERP.A
1591488000,1.1281,53.01,46.99,BTCUSDT_PERP.A
1591574400,0.9708,49.26,50.74,BTCUSDT_PERP.A
1591660800,0.9406,48.47,51.53,BTCUSDT_PERP.A
1591747200,0.8857,46.97,53.03,BTCUSDT_PERP.A
1591833600,0.879,46.78,53.22,BTCUSDT_PERP.A
1591920000,1.2517,55.59,44.41,BTCUSDT_PERP.A
1592006400,1.0576,51.4,48.6,BTCUSDT_PERP.A
1592092800,1.0777,51.87,48.13,BTCUSDT_PERP.A
1592179200,1.0276,50.68,49.32,BTCUSDT_PERP.A
1592265600,0.8041,44.57,55.43,BTCUSDT_PERP.A
1592352000,0.8667,46.43,53.57,BTCUSDT_PERP.A
1592438400,1.0773,51.86,48.14,BTCUSDT_PERP.A
1592524800,1.0421,51.03,48.97,BTCUSDT_PERP.A
1592611200,1.1386,53.24,46.76,BTCUSDT_PERP.A
1592697600,1.0309,50.76,49.24,BTCUSDT_PERP.A
1592784000,1.1017,52.42,47.58,BTCUSDT_PERP.A
1592870400,0.9117,47.69,52.31,BTCUSDT_PERP.A
1592956800,0.9992,49.98,50.02,BTCUSDT_PERP.A
1593043200,1.4056,58.43,41.57,BTCUSDT_PERP.A
1593129600,1.264,55.83,44.17,BTCUSDT_PERP.A
1593216000,1.2789,56.12,43.88,BTCUSDT_PERP.A
1593302400,1.2696,55.94,44.06,BTCUSDT_PERP.A
1593388800,1.2153,54.86,45.14,BTCUSDT_PERP.A
1593475200,1.1997,54.54,45.46,BTCUSDT_PERP.A
1593561600,1.2085,54.72,45.28,BTCUSDT_PERP.A
1593648000,1.0947,52.26,47.74,BTCUSDT_PERP.A
1593734400,1.3946,58.24,41.76,BTCUSDT_PERP.A
1593820800,1.3132,56.77,43.23,BTCUSDT_PERP.A
1593907200,1.3256,57.0,43.0,BTCUSDT_PERP.A
1593993600,1.3441,57.34,42.66,BTCUSDT_PERP.A
1594080000,0.9853,49.63,50.37,BTCUSDT_PERP.A
1594166400,1.0194,50.48,49.52,BTCUSDT_PERP.A
1594252800,0.9968,49.92,50.08,BTCUSDT_PERP.A
1594339200,1.2326,55.21,44.79,BTCUSDT_PERP.A
1594425600,1.1772,54.07,45.93,BTCUSDT_PERP.A
1594512000,1.1075,52.55,47.45,BTCUSDT_PERP.A
1594598400,1.0916,52.19,47.81,BTCUSDT_PERP.A
1594684800,1.1459,53.4,46.6,BTCUSDT_PERP.A
1594771200,1.1772,54.07,45.93,BTCUSDT_PERP.A
1594857600,1.2129,54.81,45.19,BTCUSDT_PERP.A
1594944000,1.2533,55.62,44.38,BTCUSDT_PERP.A
1595030400,1.1968,54.48,45.52,BTCUSDT_PERP.A
1595116800,1.1673,53.86,46.14,BTCUSDT_PERP.A
1595203200,1.1395,53.26,46.74,BTCUSDT_PERP.A
1595289600,1.1552,53.6,46.4,BTCUSDT_PERP.A
1595376000,1.0231,50.57,49.43,BTCUSDT_PERP.A
1595462400,1.0678,51.64,48.36,BTCUSDT_PERP.A
1595548800,1.1377,53.22,46.78,BTCUSDT_PERP.A
1595635200,1.2046,54.64,45.36,BTCUSDT_PERP.A
1595721600,1.1805,54.14,45.86,BTCUSDT_PERP.A
1595808000,1.2528,55.61,44.39,BTCUSDT_PERP.A
1595894400,1.8249,64.6,35.4,BTCUSDT_PERP.A
