t,o,h,l,c,symbol
1579564800,16971.089,17232.897,15849.959,16545.687,BTCUSDT_PERP.A
1579651200,16545.687,18078.153,16538.895,17379.66,BTCUSDT_PERP.A
1579737600,17379.66,20294.73,16904.647,19009.584,BTCUSDT_PERP.A
1579824000,19009.584,19582.22,18225.015,18402.031,BTCUSDT_PERP.A
1579910400,18402.031,18466.604,17040.59,18262.485,BTCUSDT_PERP.A
1579996800,18262.485,18687.218,17713.115,18612.261,BTCUSDT_PERP.A
1580083200,18612.261,19284.009,18119.098,19093.294,BTCUSDT_PERP.A
1580169600,19093.294,19921.236,18248.547,18349.233,BTCUSDT_PERP.A
1580256000,18349.233,19383.758,17642.3,18923.375,BTCUSDT_PERP.A
1580342400,18923.375,20275.738,18422.143,19899.372,BTCUSDT_PERP.A
1580428800,19899.372,21185.368,19201.084,21006.272,BTCUSDT_PERP.A
1580515200,21006.272,21259.97,19923.652,20997.227,BTCUSDT_PERP.A
1580601600,20997.227,22204.666,20159.171,20851.227,BTCUSDT_PERP.A
1580688000,20851.227,22887.15,20081.457,22227.597,BTCUSDT_PERP.A
1580774400,22227.597,23243.652,21377.746,21675.503,BTCUSDT_PERP.A
1580860800,21675.503,22818.167,21455.37,22091.504,BTCUSDT_PERP.A
1580947200,22091.504,23335.668,21582.102,21582.102,BTCUSDT_PERP.A
1581033600,21582.102,23020.695,20926.142,22270.641,BTCUSDT_PERP.A
1581120000,22270.641,23331.294,21741.629,22780.653,BTCUSDT_PERP.A
1581206400,22780.653,22954.358,21690.292,22730.434,BTCUSDT_PERP.A
1581292800,22730.434,25565.731,22429.11,25047.648,BTCUSDT_PERP.A
1581379200,25047.648,25773.735,24321.389,25055.001,BTCUSDT_PERP.A
1581465600,25055.001,25464.766,22526.306,23004.195,BTCUSDT_PERP.A
1581552000,23004.195,24807.119,22424.121,23580.958,BTCUSDT_PERP.A
1581638400,23580.958,24646.086,23086.97,23954.858,BTCUSDT_PERP.A
1581724800,23954.858,25676.916,22593.009,23849.075,BTCUSDT_PERP.A
1581811200,23849.075,24382.398,21520.94,21560.413,BTCUSDT_PERP.A
1581897600,21560.413,25260.049,21505.399,23067.261,BTCUSDT_PERP.A
1581984000,23057.582,24787.452,22689.96,23934.9,BTCUSDT_PERP.A
1582070400,23934.9,23979.351,19617.101,20249.67,BTCUSDT_PERP.A
1582156800,20249.67,21341.168,19623.249,20145.669,BTCUSDT_PERP.A
1582243200,20145.669,21182.516,20104.632,20156.076,BTCUSDT_PERP.A
1582329600,20156.076,20833.75,19904.011,20731.447,BTCUSDT_PERP.A
1582416000,20731.447,22735.219,20447.572,22153.376,BTCUSDT_PERP.A
1582502400,22153.376,22443.875,19582.849,21099.994,BTCUSDT_PERP.A
1582588800,21099.994,23119.642,21010.445,21889.218,BTCUSDT_PERP.A
1582675200,21889.218,23951.516,20698.697,20698.697,BTCUSDT_PERP.A
1582761600,20698.697,20721.468,18289.312,18356.841,BTCUSDT_PERP.A
1582848000,18356.841,22077.142,18282.345,20823.845,BTCUSDT_PERP.A
1582934400,20823.845,21586.122,20537.548,21161.966,BTCUSDT_PERP.A
1583020800,21161.966,22582.938,20495.089,21294.57,BTCUSDT_PERP.A
1583107200,21294.57,21537.355,19677.936,19854.317,BTCUSDT_PERP.A
1583193600,19854.317,21747.999,19203.273,20111.086,BTCUSDT_PERP.A
1583280000,20111.086,21515.103,20033.282,20980.886,BTCUSDT_PERP.A
1583366400,20980.886,22096.979,20542.75,21671.446,BTCUSDT_PERP.A
1583452800,21671.446,24091.568,21262.049,23300.355,BTCUSDT_PERP.A
1583539200,23300.355,23892.938,22132.761,23115.656,BTCUSDT_PERP.A
1583625600,23115.656,23616.554,19062.624,19212.374,BTCUSDT_PERP.A
1583712000,19212.374,21521.488,17751.207,19866.651,BTCUSDT_PERP.A
1583798400,19866.651,20865.153,18654.14,18955.334,BTCUSDT_PERP.A
1583884800,18955.334,22270.607,18274.072,19920.31,BTCUSDT_PERP.A
1583971200,19920.31,21264.119,14197.451,15279.619,BTCUSDT_PERP.A
1584057600,15279.619,18660.577,13374.518,14169.376,BTCUSDT_PERP.A
1584144000,14169.376,15385.147,13592.898,15222.183,BTCUSDT_PERP.A
1584230400,15222.183,17719.423,14818.455,15862.775,BTCUSDT_PERP.A
1584316800,15862.775,18467.711,15862.775,17234.115,BTCUSDT_PERP.A
1584403200,17234.115,18790.873,16285.477,17930.785,BTCUSDT_PERP.A
1584489600,17930.785,20825.702,17785.717,20136.63,BTCUSDT_PERP.A
1584576000,20136.63,22006.181,19159.26,19358.213,BTCUSDT_PERP.A
1584662400,19358.213,19878.956,15072.23,15183.099,BTCUSDT_PERP.A
1584748800,15183.099,18312.172,15183.099,17856.042,BTCUSDT_PERP.A
1584835200,17856.042,20539.136,17856.042,19794.53,BTCUSDT_PERP.A
1584921600,19794.53,21183.918,17739.96,18516.601,BTCUSDT_PERP.A
1585008000,18516.601,20325.678,17825.02,17880.03,BTCUSDT_PERP.A
1585094400,17880.03,18949.949,17317.141,18328.703,BTCUSDT_PERP.A
1585180800,18328.703,19711.717,17852.256,19711.717,BTCUSDT_PERP.A
1585267200,19711.717,21869.884,19030.549,20745.407,BTCUSDT_PERP.A
1585353600,20745.407,23837.74,20574.868,22794.108,BTCUSDT_PERP.A
1585440000,22794.108,25472.095,22521.717,24308.744,BTCUSDT_PERP.A
1585526400,24308.744,25201.037,22853.745,23300.893,BTCUSDT_PERP.A
1585612800,23300.893,26440.575,22971.416,26380.264,BTCUSDT_PERP.A
1585699200,26380.264,29389.639,26023.168,26036.149,BTCUSDT_PERP.A
1585785600,26036.149,27251.869,21944.915,22034.632,BTCUSDT_PERP.A
1585872000,22034.632,23553.186,21907.515,22314.848,BTCUSDT_PERP.A
1585958400,22314.848,25494.059,22081.909,23427.011,BTCUSDT_PERP.A
1586044800,23427.011,26438.537,23323.373,24695.634,BTCUSDT_PERP.A
1586131200,24695.634,29686.699,23802.801,29655.085,BTCUSDT_PERP.A
1586217600,29655.085,29655.085,25841.157,25841.163,BTCUSDT_PERP.A
1586304000,25841.163,27204.588,24802.267,26212.803,BTCUSDT_PERP.A
1586390400,26212.803,28120.505,26212.803,27965.909,BTCUSDT_PERP.A
1586476800,27965.909,29919.785,26664.885,28753.623,BTCUSDT_PERP.A
1586563200,28753.623,30713.8,28457.622,29036.579,BTCUSDT_PERP.A
1586649600,29036.579,33110.195,28473.784,29261.705,BTCUSDT_PERP.A
1586736000,29261.705,31225.372,28984.159,29663.277,BTCUSDT_PERP.A
1586822400,29663.277,32910.632,29515.245,31530.351,BTCUSDT_PERP.A
1586908800,31530.351,35848.702,31165.159,35848.702,BTCUSDT_PERP.A
1586995200,35848.702,35982.39,30395.084,30572.236,BTCUSDT_PERP.A
1587081600,30572.236,32650.225,29999.387,31914.687,BTCUSDT_PERP.A
1587168000,31914.687,34761.452,31614.74,33551.155,BTCUSDT_PERP.A
1587254400,33551.155,33551.155,31795.753,33223.762,BTCUSDT_PERP.A
1587340800,33223.762,35728.467,33111.899,34116.02,BTCUSDT_PERP.A
1587427200,34116.02,36169.496,33607.343,34801.06,BTCUSDT_PERP.A
1587513600,34801.06,37055.698,34692.997,35283.895,BTCUSDT_PERP.A
1587600000,35283.895,36878.147,26444.555,28553.717,BTCUSDT_PERP.A
1587686400,28553.717,30113.425,27545.995,27879.977,BTCUSDT_PERP.A
1587772800,27879.977,29727.531,27444.931,28124.853,BTCUSDT_PERP.A
1587859200,28124.853,30481.31,27862.496,28930.187,BTCUSDT_PERP.A
1587945600,29112.737,30658.661,27617.792,29573.314,BTCUSDT_PERP.A
1588032000,29573.314,31913.78,29169.181,31128.266,BTCUSDT_PERP.A
1588118400,31128.266,34888.563,25390.826,26915.258,BTCUSDT_PERP.A
1588204800,26915.258,29550.621,25767.612,27999.073,BTCUSDT_PERP.A
1588291200,27999.073,31894.891,27536.785,30420.817,BTCUSDT_PERP.A
1588377600,30420.817,33040.361,29430.897,29761.347,BTCUSDT_PERP.A
1588464000,29761.347,34135.357,28963.235,33020.685,BTCUSDT_PERP.A
1588550400,33020.685,34651.351,30983.762,31047.234,BTCUSDT_PERP.A
1588636800,31047.234,34340.897,30815.784,31486.158,BTCUSDT_PERP.A
1588723200,31486.158,38715.739,31247.977,33818.614,BTCUSDT_PERP.A
1588809600,33818.614,34093.365,31592.401,33073.761,BTCUSDT_PERP.A
1588896000,33073.761,35256.952,31915.614,34498.038,BTCUSDT_PERP.A
1588982400,34498.038,41958.491,34322.549,40055.184,BTCUSDT_PERP.A
1589068800,40055.184,40226.516,25265.081,25265.081,BTCUSDT_PERP.A
1589155200,25265.081,28569.506,25071.649,25713.301,BTCUSDT_PERP.A
1589241600,25713.301,26750.519,24788.821,25635.728,BTCUSDT_PERP.A
1589328000,25635.728,29576.602,25434.608,29216.031,BTCUSDT_PERP.A
1589414400,29216.031,31509.732,28568.639,29537.819,BTCUSDT_PERP.A
1589500800,29537.819,33929.108,27801.184,31410.689,BTCUSDT_PERP.A
1589587200,31410.689,32967.042,30990.503,32195.931,BTCUSDT_PERP.A
1589673600,32195.931,33410.021,31229.445,31543.891,BTCUSDT_PERP.A
1589760000,31543.891,33790.847,31543.891,32346.418,BTCUSDT_PERP.A
1589846400,32346.418,33144.196,31257.088,31473.29,BTCUSDT_PERP.A
1589932800,31473.29,35513.973,31457.629,33240.635,BTCUSDT_PERP.A
1590019200,33240.635,35787.148,32536.799,32960.639,BTCUSDT_PERP.A
1590105600,32960.639,35106.524,32586.022,34780.566,BTCUSDT_PERP.A
1590192000,34780.566,35465.449,34108.609,34108.609,BTCUSDT_PERP.A
1590278400,34108.609,35467.516,33303.763,33684.229,BTCUSDT_PERP.A
1590364800,33684.229,36491.451,33328.584,34814.846,BTCUSDT_PERP.A
1590451200,34814.846,36134.367,34430.274,35382.328,BTCUSDT_PERP.A
1590537600,35382.328,37942.325,33967.977,37253.744,BTCUSDT_PERP.A
1590624000,37253.744,39467.711,35535.961,35535.961,BTCUSDT_PERP.A
1590710400,35535.961,37249.586,35154.077,36943.616,BTCUSDT_PERP.A
1590796800,36943.616,36943.616,33123.163,33596.804,BTCUSDT_PERP.A
1590883200,33596.804,35319.812,33503.045,34653.577,BTCUSDT_PERP.A
1590969600,34653.577,38109.669,32013.6,32434.987,BTCUSDT_PERP.A
1591056000,32434.987,35951.007,25496.293,25596.137,BTCUSDT_PERP.A
1591142400,25596.137,28246.149,25407.181,27690.809,BTCUSDT_PERP.A
1591228800,27690.809,29761.809,27573.612,29231.15,BTCUSDT_PERP.A
1591315200,29231.15,30453.427,28681.717,29821.789,BTCUSDT_PERP.A
1591401600,29821.789,31404.79,29775.224,29775.224,BTCUSDT_PERP.A
1591488000,29775.224,32849.549,28974.724,29823.198,BTCUSDT_PERP.A
1591574400,29823.198,31154.445,29811.764,31154.445,BTCUSDT_PERP.A
1591660800,31154.445,31154.445,27521.595,30090.289,BTCUSDT_PERP.A
1591747200,30090.289,31340.974,28759.277,29805.398,BTCUSDT_PERP.A
1591833600,29805.398,36306.378,29805.398,32241.266,BTCUSDT_PERP.A
1591920000,32241.266,32454.096,30555.707,30665.789,BTCUSDT_PERP.A
1592006400,30665.789,31427.597,30251.217,30404.93,BTCUSDT_PERP.A
1592092800,30404.93,33256.662,30118.726,32020.463,BTCUSDT_PERP.A
1592179200,32020.463,37177.186,32020.463,34879.141,BTCUSDT_PERP.A
1592265600,34879.141,34980.979,32703.193,33490.299,BTCUSDT_PERP.A
1592352000,33490.299,34940.532,32252.435,34054.496,BTCUSDT_PERP.A
1592438400,34054.496,35926.223,34054.496,35563.928,BTCUSDT_PERP.A
1592524800,35563.928,37452.901,35563.928,36472.084,BTCUSDT_PERP.A
1592611200,36472.084,37778.807,36237.224,36424.554,BTCUSDT_PERP.A
1592697600,36424.554,36811.886,35845.833,36415.321,BTCUSDT_PERP.A
1592784000,36415.321,38393.481,35064.123,36173.74,BTCUSDT_PERP.A
1592870400,36173.74,39807.446,35861.66,39807.446,BTCUSDT_PERP.A
1592956800,39807.446,42106.113,38557.498,39040.921,BTCUSDT_PERP.A
1593043200,38935.707,39656.962,36726.167,37000.836,BTCUSDT_PERP.A
1593129600,37000.836,40840.792,36566.549,38843.529,BTCUSDT_PERP.A
1593216000,38843.529,42985.379,38843.529,41131.3,BTCUSDT_PERP.A
1593302400,41131.3,42299.628,40365.381,41014.431,BTCUSDT_PERP.A
1593388800,41014.431,43367.013,40732.341,40874.291,BTCUSDT_PERP.A
1593475200,40874.291,42410.636,40780.626,41523.588,BTCUSDT_PERP.A
1593561600,41523.588,43519.843,41523.588,41536.881,BTCUSDT_PERP.A
1593648000,41536.881,43287.429,40772.139,40887.087,BTCUSDT_PERP.A
1593734400,40887.087,41358.868,40347.735,40677.765,BTCUSDT_PERP.A
1593820800,40677.765,41690.754,40369.131,40827.431,BTCUSDT_PERP.A
1593907200,40827.431,43316.21,39465.162,40167.479,BTCUSDT_PERP.A
1593993600,40167.479,42977.084,39852.792,42112.838,BTCUSDT_PERP.A
1594080000,42112.838,42838.156,41700.081,42229.47,BTCUSDT_PERP.A
1594166400,42229.47,44387.18,41409.896,44325.85,BTCUSDT_PERP.A
1594252800,44325.85,44915.375,41643.624,41658.183,BTCUSDT_PERP.A
1594339200,41658.183,42884.089,40954.164,40954.164,BTCUSDT_PERP.A
1594425600,40954.164,40984.172,39851.041,40785.783,BTCUSDT_PERP.A
1594512000,40785.783,41174.564,39662.07,40079.957,BTCUSDT_PERP.A
1594598400,40079.957,43316.92,40079.957,41638.64,BTCUSDT_PERP.A
1594684800,41638.64,43914.66,40405.589,40436.399,BTCUSDT_PERP.A
1594771200,40436.399,43024.262,40436.399,42279.82,BTCUSDT_PERP.A
1594857600,42279.82,47020.081,42279.82,44256.392,BTCUSDT_PERP.A
1594944000,44256.392,45495.424,44256.392,44709.639,BTCUSDT_PERP.A
1595030400,44709.639,44736.558,43174.729,43509.821,BTCUSDT_PERP.A
1595116800,43509.821,44073.622,43175.05,43745.173,BTCUSDT_PERP.A
1595203200,43745.173,43948.886,42461.768,42467.004,BTCUSDT_PERP.A
1595289600,42467.004,47796.556,42368.183,46443.801,BTCUSDT_PERP.A
