date,onchain_lstm,onchain_transformer,model4_signal
2018-03-02,-0.028617367,2.4835496,0.9762494
2018-03-03,-0.2661289,2.493073,0.8375519
2018-03-04,0.5854335,2.5056465,1.3535187
2018-03-05,0.94692427,2.5291855,1.5798289
2018-03-06,0.4508121,2.5224743,1.279477
2018-03-07,-0.20608418,2.5525224,0.8973585
2018-03-08,-0.2187834,2.5669315,0.89550257
2018-03-09,-0.7310309,2.58891,0.5969455
2018-03-10,0.2024057,2.6007054,1.1617255
2018-03-11,-0.27456546,2.6189928,0.8828579
2018-03-12,0.70115495,2.617833,1.4678261
2018-03-13,0.57387906,2.63763,1.3993795
2018-03-14,0.7485456,2.6376965,1.504206
2018-03-15,-0.6548791,2.6415424,0.66368955
2018-03-16,0.03465472,2.644439,1.0785685
2018-03-17,-0.11948834,2.6435406,0.9857233
2018-03-18,0.521683,2.6477468,1.3721085
2018-03-19,0.1613316,2.6434581,1.1541823
2018-03-20,0.65238065,2.6573536,1.4543698
2018-03-21,-0.6293032,2.660146,0.68647647
2018-03-22,0.3499758,2.6569772,1.2727764
2018-03-23,-0.094419554,2.6551957,1.0054266
2018-03-24,0.5329583,2.655751,1.3820754
2018-03-25,0.19651814,2.6545317,1.1797236
2018-03-26,0.55044955,2.6515384,1.3908851
2018-03-27,-0.21505527,2.6501453,0.93102497
2018-03-28,0.19026634,2.65031,1.1742839
2018-03-29,0.40110135,2.6471958,1.2995391
2018-03-30,0.34556073,2.6449044,1.2652982
2018-03-31,0.27351713,2.641056,1.2205328
2018-04-01,-0.52670515,2.6438138,0.7415024
2018-04-02,0.5754939,2.6382537,1.4005978
2018-04-03,0.08802791,2.6452918,1.1109335
2018-04-04,0.47432172,2.6472692,1.3435009
2018-04-05,-0.71879554,2.6458547,0.6270645
2018-04-06,0.23684065,2.644141,1.1997608
2018-04-07,-0.20838337,2.645018,0.9329772
2018-04-08,0.7677714,2.642152,1.5175236
2018-04-09,0.039641514,2.6408365,1.0801195
2018-04-10,0.4855355,2.6431167,1.348568
2018-04-11,-0.2707786,2.6451743,0.8956025
2018-04-12,-0.010953024,2.6428068,1.0505509
